IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLEFRANCAIS;GENRE;ESPECE;VARIETEOUCULTIVAR;CIRCONFERENCEENCM;HAUTEUR (m);STADEDEVELOPPEMENT;REMARQUABLE;geo_point_2d
201561.0;Arbre;DJS;PARIS 16E ARRDT;;;STADE FRANCAIS OMNISPORTS GEO ANDRE / 2 RUE DU COMMANDANT GUILBAUD;01140055;Epicéa;Picea;abies;;90.0;12.0;JA;0;48.8392380233, 2.25238453894
200582.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320009;Epicéa;Picea;pungens;;120.0;10.0;A;0;48.8381403576, 2.41121279072
111335.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 20 - 75 à 77;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000307020;Epicéa;Picea;engelmannii;'Glauca';40.0;4.0;JA;0;48.8715737524, 2.27848011139
107703.0;Arbre;Jardin;PARIS 7E ARRDT;;;JARDIN DU CHAMP DE MARS;P0061409;Epicéa;Picea;pungens f. Glauca;;105.0;16.0;A;0;48.8570155667, 2.29723364033
160468.0;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE SAINT-OUEN NOUV / DIV 25;D00000025006;Epicéa;Picea;abies;;35.0;7.0;;;48.9092450785, 2.35097617496
160461.0;Arbre;CIMETIERE;PARIS 20E ARRDT;;;CIMETIERE DU PERE LACHAISE / DIV 85;D00000085002;Epicéa;Picea;abies;;105.0;15.0;A;0;48.8631346175, 2.39535427899
191276.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE MORILLONS;073010013;Epicéa;Picea;abies;;65.0;7.0;J;0;48.8320804153, 2.30120816013
139253.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102004;Epicéa;Picea;abies;;90.0;11.0;A;0;48.8355222611, 2.25491902714
188810.0;Arbre;DFPE;PARIS 13E ARRDT;;;RECULETTES (21-23) HALTE GARDERIE;24820001;Epicéa;Picea;abies;;45.0;7.0;J;0;48.831331646, 2.35065591225
2017496.0;Arbre;Jardin;PARIS 19E ARRDT;;;PROMENADE AMALIA RODRIGUES / 9 RUE DES MARCHAIS;0103083;Epicéa;Picea;pungens;;20.0;0.0;;0;48.8815494494, 2.40107707067
198605.0;Arbre;DJS;PARIS 13E ARRDT;;;TEP CORDELIERE / 35 RUE DES CORDELLIERES;00110001;Epicéa;Picea;abies;;120.0;10.0;A;0;48.8328426747, 2.34919888518
139935.0;Arbre;Jardin;PARIS 19E ARRDT;;;MAIL MARCEL ACHARD;00000098;Epicéa;Picea;pungens;'Koster';40.0;0.0;;;48.8736777717, 2.37616705916
160471.0;Arbre;CIMETIERE;PARIS 14E ARRDT;;;CIMETIERE DE MONTPARNASSE GRAND / DIV 9;D00000009003;Epicéa;Picea;abies;;140.0;15.0;A;0;48.8380195499, 2.3238510067
2024430.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060157;Epicéa;Picea;sitchensis;;0.0;0.0;;0;48.8215567904, 2.45752053645
197767.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320005;Epicéa;Picea;pungens;;70.0;10.0;JA;0;48.8380948799, 2.41083345634
199805.0;Arbre;DJS;PARIS 20E ARRDT;;;CENTRE SPORTIF LAGNY / 21 RUE DE LAGNY;000202003;Epicéa;Picea;pungens;;55.0;12.0;JA;0;48.8498472892, 2.40182005017
151597.0;Arbre;CIMETIERE;PARIS 12E ARRDT;;;CIMETIERE DE BERCY / DIV 6;D00000006003;Epicéa;Picea;abies;;70.0;510.0;JA;0;48.8329619454, 2.39746869487
104728.0;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE RENE LE GALL;00010137;Epicéa;Picea;abies;;95.0;15.0;;;48.8327188688, 2.34925371068
2024432.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480814;Epicéa;Picea;pungens;;0.0;0.0;;0;48.8215425123, 2.45762448311
2019625.0;Arbre;Jardin;BOIS DE VINCENNES;;;ECOLE DU BREUIL / ROUTE DE LA FERME;50050012;Epicéa;Picea;omorika;;45.0;6.0;J;0;48.8232428318, 2.45914116692
2012242.0;Arbre;Jardin;BOIS DE VINCENNES;;;INSEP / AVENUE DU TREMBLAY;00090049;Epicéa;Picea;abies;;90.0;10.0;A;0;48.8339725079, 2.44847562476
201272.0;Arbre;DJS;PARIS 17E ARRDT;;;CENTRE SPORTIF COURCELLES / 209 RUE DE COURCELLES;295102003;Epicéa;Picea;abies;;40.0;4.0;J;;48.8894693513, 2.29199028587
191273.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE MORILLONS;073010010;Epicéa;Picea;abies;;75.0;8.0;JA;0;48.8320517513, 2.30124957675
118505.0;Arbre;Jardin;PARIS 11E ARRDT;;;SQUARE DAMIA;00000038;Epicéa;Picea;pungens;;20.0;5.0;;;48.854940072, 2.39514450825
112875.0;Arbre;Jardin;PARIS 14E ARRDT;05 - Les voies férrées / Talus RER Ouest;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;002901008;Epicéa;Picea;mariana;;170.0;12.0;A;0;48.8223038156, 2.33810364594
2015710.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320019;Epicéa;Picea;abies;;0.0;0.0;;0;48.835819048, 2.44420698771
2015703.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320012;Epicéa;Picea;abies;;120.0;18.0;A;0;48.8358734134, 2.44414484221
184451.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 17 RUE VOLONTAIRES;06100002;Epicéa;Picea;abies;;35.0;6.0;J;0;48.8422001591, 2.30757637939
2024279.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480620;Epicéa;Picea;asperata;;0.0;0.0;;0;48.821117342, 2.45691268968
186383.0;Arbre;DFPE;PARIS 13E ARRDT;;;ANDRE MASSON (7);26590002;Epicéa;Picea;abies;;70.0;10.0;J;0;48.8273017987, 2.3551590232
187274.0;Arbre;DFPE;PARIS 15E ARRDT;;;LEFEBVRE (54);22161017;Epicéa;Picea;abies;;40.0;6.0;J;0;48.8297227301, 2.29465920747
116468.0;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY;00000099;Epicéa;Picea;abies;;100.0;0.0;A;0;48.8704867469, 2.41135331722
2024435.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719831250;Epicéa;Picea;gemmata;;0.0;0.0;;0;48.821634478, 2.45772278928
123704.0;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE CHARLES PEGUY;00000148;Epicéa;Picea;pungens f. Glauca;;45.0;6.0;;;48.8391832608, 2.40714227176
136139.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE DES POETES;00000040;Epicéa;Picea;pungens;;112.0;0.0;;;48.847396239, 2.25483008194
2015716.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320026;Epicéa;Picea;abies;;0.0;0.0;;0;48.8357857551, 2.44417245228
139249.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000101030;Epicéa;Picea;abies;;85.0;14.0;A;0;48.8354053047, 2.25518453972
2015717.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320027;Epicéa;Picea;abies;;0.0;0.0;;0;48.8357855457, 2.44415060202
191669.0;Arbre;PERIPHERIQUE;PARIS 17E ARRDT;;;TALUS N°20-00;092000025;Epicéa;Picea;abies;;55.0;6.0;A;0;48.9007608719, 2.32364280081
2024274.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060130;Epicéa;Picea;omorika;;0.0;0.0;;0;48.8213123152, 2.45707084313
127632.0;Arbre;Jardin;PARIS 19E ARRDT;;;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;00000130;Epicéa;Picea;pungens;'Koster';84.0;0.0;;;48.8813006543, 2.39961982004
133463.0;Arbre;Jardin;PARIS 15E ARRDT;;;SQUARE DU DOCTEUR CALMETTE / 2 RUE JEAN SICARD;000105043;Epicéa;Picea;abies;'Pendula';80.0;0.0;;;48.8286188895, 2.29765038956
2011303.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00120004;Epicéa;Picea;pungens;'Koster';85.0;13.0;A;0;48.8393372171, 2.44176470287
2010663.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00030015;Epicéa;Picea;abies;;100.0;20.0;A;0;48.838419402, 2.44016688948
2024428.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480784;Epicéa;Picea;pungens;;0.0;0.0;;0;48.821496813, 2.45748124025
112196.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230019;Epicéa;Picea;n. sp.;;95.0;2.0;;;48.880585282, 2.38583275231
2007672.0;Arbre;Alignement;PARIS 15E ARRDT;;;RUE JONGKIND;000101002;Epicéa;Picea;n. sp.;;45.0;8.0;A;0;48.8391827124, 2.28005957761
2007666.0;Arbre;Alignement;PARIS 15E ARRDT;N°10;;RUE JONGKIND;000202001;Epicéa;Picea;n. sp.;;45.0;88.0;A;0;48.8389896315, 2.27994541179
198031.0;Arbre;DJS;PARIS 13E ARRDT;;;CENTRE SPORTIF GEORGES CARPENTIER / 81 BOULEVARD MASSENA;00010427;Epicéa;Picea;n. sp.;;115.0;12.0;A;0;48.820638785, 2.36777467574
111621.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230024;Epicéa;Picea;abies;;20.0;4.0;;;48.8805364103, 2.38596908399
2024422.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801152;Epicéa;Picea;glehnii;;0.0;0.0;;0;48.8213316525, 2.45782624972
201671.0;Arbre;DJS;PARIS 16E ARRDT;;;CENTRE SPORTIF JEAN-PIERRE WIMILLE / 56 BOULEVARD DE L AMIRAL BRUIX;700505006;Epicéa;Picea;abies;;20.0;4.0;J;;48.8731620269, 2.27626836464
198581.0;Arbre;DJS;PARIS 13E ARRDT;;;CENTRE SPORTIF JENNER / 47 RUE JENNER;00960001;Epicéa;Picea;abies;;40.0;4.0;J;0;48.8356923631, 2.36127510528
160474.0;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 167;D00000167028;Epicéa;Picea;abies;;30.0;6.0;;;48.9068655388, 2.39890994398
2010662.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00030014;Epicéa;Picea;abies;;90.0;18.0;A;0;48.8384284512, 2.44014611038
111337.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 20 - 75 à 77;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000307019;Epicéa;Picea;engelmannii;'Glauca';34.0;4.0;JA;0;48.8715866946, 2.27858017809
2025193.0;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DE L HOPITAL SAINTE PERINE / 41 RUE MIRABEAU;000303021;Epicéa;Picea;abies;'Pendula';50.0;10.0;A;0;48.8451646084, 2.26977283797
105750.0;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DE CHOISY;00000135;Epicéa;Picea;pungens;;30.0;4.0;;;48.8281330422, 2.36076728282
2013327.0;Arbre;Jardin;BOIS DE VINCENNES;;;INSEP / AVENUE DU TREMBLAY;00020076;Epicéa;Picea;abies;;50.0;9.0;JA;0;48.8345294537, 2.45407223768
187466.0;Arbre;DASCO;PARIS 20E ARRDT;;;ECOLE MATERNELLE / 94 RUE COURONNES;084704008;Epicéa;Picea;abies;;90.0;8.0;JA;0;48.8701115688, 2.38745054948
186212.0;Arbre;DFPE;PARIS 19E ARRDT;;;MATHURIN MOREAU (14B);26100005;Epicéa;Picea;abies;;55.0;8.0;A;0;48.8771780404, 2.37275227141
2015715.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320025;Epicéa;Picea;abies;;0.0;0.0;;0;48.8358029212, 2.44417572967
123702.0;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE CHARLES PEGUY;00000146;Epicéa;Picea;pungens f. Glauca;;75.0;7.0;;;48.8392469076, 2.40717476483
2015708.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320017;Epicéa;Picea;abies;;0.0;0.0;;0;48.83583009, 2.44419102554
186304.0;Arbre;DASCO;PARIS 13E ARRDT;;;ECOLE MATERNELLE / 13 RUE LAHIRE;057502006;Epicéa;Picea;abies;;70.0;8.0;J;0;48.8291838513, 2.3668181387
200583.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320010;Epicéa;Picea;pungens;;125.0;10.0;A;0;48.8382520995, 2.41122117457
160467.0;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE SAINT-OUEN NOUV / DIV 11;D00000011001;Epicéa;Picea;abies;;60.0;8.0;;;48.9069631642, 2.34915499155
197769.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320007;Epicéa;Picea;pungens;;75.0;10.0;JA;0;48.8381610392, 2.41096542391
105923.0;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DE CHOISY;00000313;Epicéa;Picea;pungens f. Glauca;;120.0;17.0;;;48.8281755297, 2.35861398864
187710.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 35 AVENUE EMILE ZOLA;070801006;Epicéa;Picea;abies;;30.0;6.0;J;0;48.846530497, 2.28171736952
112195.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230020;Epicéa;Picea;n. sp.;;16.0;3.0;;;48.8805716989, 2.3858671786
2015472.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00230118;Epicéa;Picea;abies;;0.0;0.0;;0;48.8379257552, 2.44413224735
112568.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;J0450021;Epicéa;Picea;omorika;;90.0;15.0;;;48.8795996611, 2.38356476029
200584.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320011;Epicéa;Picea;pungens;;70.0;5.0;JA;0;48.8382168447, 2.4113381434
139238.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000101019;Epicéa;Picea;abies;;125.0;18.0;A;0;48.8357341147, 2.25535456919
2024280.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480624;Epicéa;Picea;schrenkiana;;0.0;0.0;;0;48.8211076767, 2.45686977871
2024258.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480621;Epicéa;Picea;koyamai;;0.0;0.0;;0;48.8212385659, 2.45676171673
2024267.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719861321;Epicéa;Picea;obovata;;0.0;0.0;;0;48.8214748591, 2.45687889289
2024264.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801130;Epicéa;Picea;abies;;0.0;0.0;;0;48.8214493532, 2.45677004885
191214.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE MORILLONS;073010014;Epicéa;Picea;abies;;40.0;6.0;J;0;48.8320952637, 2.30122812309
186807.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE ELEMENTAIRE B / 81 RUE MADEMOISELLE;117101005;Epicéa;Picea;abies;;55.0;5.0;J;0;48.8440764672, 2.30016924755
160480.0;Arbre;CIMETIERE;VAL-DE-MARNE;;;CIMETIERE D'IVRY / DIV 20;D00000020002;Epicéa;Picea;abies;;40.0;8.0;J;0;48.8112362021, 2.36672312003
136424.0;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00070038;Epicéa;Picea;abies;;20.0;0.0;;;48.8457981726, 2.25094381755
2024257.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480625;Epicéa;Picea;smithiana;;0.0;0.0;;0;48.821219089, 2.45680405971
116505.0;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY;00000136;Epicéa;Picea;abies;;92.0;0.0;A;0;48.8694282372, 2.41198061309
2024270.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060133;Epicéa;Picea;glehnii;;0.0;0.0;;0;48.8215719691, 2.45710972132
124540.0;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DESSOUS DES BERGES;00000012;Epicéa;Picea;omorika;;15.0;6.0;;;48.8260420473, 2.37530772517
2024427.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060155;Epicéa;Picea;pungens;;0.0;0.0;;0;48.8213857681, 2.45750510015
2024434.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801155;Epicéa;Picea;asperata;;0.0;0.0;;0;48.8215843634, 2.45769464034
197764.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320003;Epicéa;Picea;pungens;;70.0;5.0;JA;0;48.8381906588, 2.41069409948
191668.0;Arbre;PERIPHERIQUE;PARIS 17E ARRDT;;;TALUS N°20-00;092000024;Epicéa;Picea;abies;;55.0;6.0;A;0;48.9007805058, 2.32371638402
200534.0;Arbre;DJS;PARIS 12E ARRDT;;;TEP LOUIS BRAILLE / 24 RUE LOUIS BRAILLE;00280013;Epicéa;Picea;n. sp.;;45.0;8.0;J;0;48.8392589348, 2.40279079708
191109.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 35 AVENUE EMILE ZOLA;070801004;Epicéa;Picea;abies;;35.0;7.0;J;0;48.8465563431, 2.28162123057
2024272.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060131;Epicéa;Picea;breweriana;;0.0;0.0;;0;48.821398203, 2.4570070109
191274.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE MORILLONS;073010011;Epicéa;Picea;abies;;20.0;4.0;J;0;48.8320636577, 2.30122933689
2024289.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060134;Epicéa;Picea;omorika;;0.0;0.0;;0;48.8214038614, 2.45713804424
112173.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230021;Epicéa;Picea;n. sp.;;20.0;3.0;;;48.8805508424, 2.38588099191
114124.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 05 - 54 à 68;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000404075;Epicéa;Picea;pungens;;20.0;2.0;J;0;48.8726350464, 2.28052306356
139252.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102003;Epicéa;Picea;abies;;90.0;15.0;A;0;48.8355006785, 2.25495696497
